ID_UMBRAL,COD_METRICA,COD_MODELO,UMBRAL,INTERPRETACION,FECHA_ALTA,MEDICION_METRICAS
15,Gain1,fraudeoriginacion,30.0000,MAX,1/4/2020 10:00,
8,Gain1,fraudeoriginacion,60.0000,MAX,1/1/2020 10:00,
17,Gain10,fraudeoriginacion,60.0000,MAX,7/5/2020 15:07,
16,Gain10,fraudeoriginacion,70.0000,MAX,20/2/2020 15:07,
14,Gain10,fraudeoriginacion,80.0000,MAX,1/1/2020 15:07,
19,Gain20,fraudeoriginacion,86.0000,MAX,23/4/2020 15:15,
18,Gain20,fraudeoriginacion,90.0000,MAX,1/1/2020 15:15,
27,Gain1,fraudetransaccional,40.0000,MAX,1/10/2019 17:36,
28,Gain30,inactividadcomercios,80.0000,MAX,23/5/2020 12:33,
29,KS30,inactividadcomercios,0.6000,MAX,23/5/2020 12:34,
30,Gain30,inactividadfinanciera,70.0000,MAX,21/4/2020 00:30,
31,KS30,inactividadfinanciera,0.5000,MAX,21/4/2020 00:30,
25,F1,noactivacion,0.3000,MAX,29/4/2020 21:28,
24,KS20,noactivacion,0.4000,MAX,29/4/2020 21:28,
23,Precision,noactivacion,0.6000,MAX,29/4/2020 10:00,
26,Recall,noactivacion,0.2000,MAX,29/4/2020 21:28,
33,Gain20,propensionbajasegurosapcg,60.0000,MAX,9/6/2020 12:50,
34,KS20,propensionbajasegurosapcg,0.5000,MAX,9/6/2020 12:51,
32,Gain20,propensionbajasrevistas,60.0000,MAX,25/3/2020 10:49,
12,KS20,propensionbajasrevistas,0.5000,MAX,25/3/2020 21:08,
13,Coverage,recomendacionpromociones,0.5000,MAX,1/1/2020 10:00,
7,Mean_Reciprocal_Rank,recomendacionpromociones,0.6000,MAX,1/1/2020 10:00,
4,NDCG5,recomendacionpromociones,0.7000,MAX,1/1/2020 10:00,
5,NDCG10,recomendacionpromociones,0.7300,MAX,1/1/2020 10:00,
6,NDCG25,recomendacionpromociones,0.7500,MAX,1/1/2020 10:00,
1,Precision5,recomendacionpromociones,0.1500,MAX,1/1/2020 10:00,
2,Precision10,recomendacionpromociones,0.0500,MAX,1/1/2020 10:00,
3,Precision25,recomendacionpromociones,0.0150,MAX,1/1/2020 10:00,